Latitude,Longitude,ZipCode
41.78922592,-87.6233266,60637
41.780601,-87.576717,60637
41.903084,-87.683317,60622
41.86954,-87.744864,60644
41.795702,-87.631855,60609
41.939146,-87.675916,60657
41.790457,-87.659638,60636
41.883916,-87.682749,60612
41.774186,-87.651929,60621
42.021153,-87.67072,60626
41.819146,-87.69182,60632
41.829014,-87.626514,60609
41.896135,-87.735971,60651
41.885688,-87.749434,60644
41.732088,-87.604711,60619
41.891919,-87.61344,60611
41.783321,-87.715527,60629
41.877086,-87.725545,60624
41.782734,-87.659439,60636
41.882266,-87.763256,60644
41.753106,-87.605249,60619
41.793165,-87.66333,60636
41.922826,-87.751187,60639
41.910291,-87.726342,60639
41.785224,-87.613264,60637
41.903549,-87.728296,60651
41.747389,-87.579865,60617
41.815479,-87.633544,60609
41.874538,-87.711137,60624
41.92248,-87.644615,60614
41.809103,-87.602798,60615
41.750599,-87.634264,60620
41.779958,-87.605919,60637
41.698098,-87.619628,60628
41.900655,-87.665056,60642
41.876618,-87.650702,60607
41.764727,-87.645612,60621
41.906289,-87.725194,60651
41.707177,-87.622574,60628
41.885694,-87.750852,60644
41.724057,-87.631767,60620
41.801583,-87.645344,60609
41.933965,-87.690663,60618
41.760687,-87.683143,60636
41.762278,-87.65728,60636
41.780938,-87.693444,60629
41.802307,-87.729549,60632
41.769734,-87.582875,60649
41.972175,-87.698808,60625
42.00792,-87.665267,60626
41.824925,-87.674526,60609
41.797986,-87.596609,60615
41.968921,-87.708489,60625
41.966602,-87.658239,60640
41.735092,-87.585601,60617
41.902473,-87.755778,60651
41.751327,-87.601546,60619
41.766764,-87.661442,60636
41.781276,-87.665472,60636
41.887101,-87.753771,60644
41.752772,-87.7415,60459
41.872189,-87.76451,60644
41.727816,-87.58502,60617
41.725584,-87.611818,60619
41.894142,-87.707734,60624
41.785246,-87.612076,60637
41.707293,-87.614986,60628
41.783722,-87.624802,60637
41.73889,-87.574544,60617
41.751227,-87.569879,60617
41.706517,-87.606072,60628
41.793966,-87.643934,60621
42.010925,-87.810941,60631
41.793966,-87.643934,60621
41.793966,-87.643934,60621
41.796115,-87.778262,60638
41.784661,-87.688668,60629
41.745858,-87.598937,60619
41.651863,-87.610607,60827
41.901561,-87.72261,60651
41.856552,-87.727294,60623
41.93441,-87.803857,60634
41.679698,-87.635696,60628
41.884602,-87.754001,60644
41.787048,-87.643515,60621
41.853382,-87.718733,60623
41.919295,-87.731521,60639
41.898429,-87.711529,60651
41.758548,-87.565154,60649
41.688825,-87.633817,60628
41.788368,-87.685107,60629
41.910703,-87.711702,60647
41.750425,-87.658589,60620
41.774822,-87.696942,60629
41.910838,-87.794846,60707
41.8773,-87.708771,60624
41.809575,-87.602733,60653
41.83349,-87.704712,60623
41.974353,-87.66848,60640
41.745852,-87.599573,60619
41.809532,-87.606564,60615
41.929504,-87.651325,60614
41.653666,-87.541105,60633
41.757218,-87.562699,60649
41.749984,-87.661002,60620
41.830117,-87.616866,60653
41.700754,-87.625723,60628
41.793102,-87.668212,60636
41.771249,-87.582589,60649
41.673535,-87.617682,60628
41.902115,-87.685087,60622
41.744992,-87.656619,60620
41.827377,-87.624887,60653
41.729275,-87.60949,60619
41.785893,-87.697239,60629
41.842704,-87.638266,60616
41.784998,-87.659495,60636
41.744717,-87.546684,60617
41.880561,-87.739654,60624
41.907322,-87.711333,60651
41.775737,-87.671398,60636
41.952736,-87.650284,60613
41.758125,-87.605376,60619
41.775431,-87.695735,60629
41.707653,-87.565714,60617
41.929484,-87.652529,60614
41.672357,-87.641733,60628
41.985763,-87.711398,60659
41.953693,-87.725143,60618
41.745189,-87.643881,60620
41.927675,-87.651876,60614
41.789163,-87.604962,60637
41.752939,-87.614997,60619
41.743224,-87.622788,60619
41.699269,-87.63535,60628
41.799396,-87.646518,60609
41.769591,-87.634971,60621
41.801912,-87.627983,60609
41.739609,-87.65101,60620
41.796386,-87.630556,60621
41.796551,-87.620891,60615
41.768822,-87.68204,60636
41.8807,-87.727628,60624
41.891312,-87.71131,60624
41.749835,-87.572291,60617
41.917473,-87.738795,60639
41.970664,-87.704872,60625
41.838554,-87.608766,60616
41.901184,-87.733643,60651
41.957338,-87.650244,60613
41.957896,-87.65464,60613
41.889022,-87.77266,60644
41.907609,-87.762119,60651
41.792947,-87.619179,60637
41.985493,-87.657375,60660
42.013944,-87.664076,60626
41.763005,-87.671661,60636
41.77545,-87.694518,60629
41.868248,-87.703592,60612
41.778765,-87.589632,60637
41.92163,-87.689846,60647
41.713512,-87.536486,60617
41.714219,-87.642341,60628
41.991979,-87.673338,60660
41.758374,-87.579802,60649
41.739556,-87.654654,60620
41.779399,-87.667876,60636
41.775817,-87.665388,60636
41.755556,-87.682728,60620
41.785204,-87.644919,60621
41.751227,-87.569879,60617
41.805973,-87.66733,60609
41.944563,-87.786321,60634
41.685082,-87.642151,60628
41.878412,-87.759667,60644
41.903694,-87.644486,60610
41.788116,-87.652289,60621
41.775817,-87.665388,60636
41.910626,-87.667947,60622
41.734602,-87.619326,60619
41.946566,-87.712712,60618
41.932611,-87.691582,60618
41.778732,-87.687289,60629
41.761716,-87.634574,60621
41.953973,-87.698549,60618
41.68707,-87.620921,60628
41.765481,-87.626549,60621
41.781734,-87.637525,60621
41.764424,-87.666232,60636
41.887388,-87.716085,60624
41.749984,-87.661002,60620
41.852136,-87.678292,60608
41.689352,-87.655675,60643
41.899763,-87.728674,60651
41.777654,-87.66417,60636
41.891759,-87.765273,60644
41.741233,-87.664422,60620
41.708815,-87.619954,60628
41.762146,-87.610343,60619
41.712401,-87.641764,60628
41.782255,-87.601918,60637
41.89676,-87.754421,60651
41.751713,-87.56745,60649
41.713411,-87.572369,60617
41.907039,-87.701351,60622
41.830974,-87.628996,60616
41.706307,-87.620352,60628
41.763852,-87.616827,60619
41.778922,-87.676332,60636
41.818323,-87.624696,60653
41.767364,-87.623345,60637
41.89902,-87.726192,60651
41.903084,-87.683317,60622
41.764226,-87.587074,60619
41.887564,-87.68415,60612
41.891909,-87.772191,60644
41.745903,-87.595359,60619
41.892669,-87.615999,60611
41.898426,-87.770384,60651
41.782381,-87.648497,60621
41.923752,-87.780576,60639
41.932307,-87.722094,60618
41.773018,-87.568331,60649
41.766784,-87.615286,60637
41.758108,-87.609037,60619
41.758559,-87.563938,60649
41.745717,-87.609927,60619
41.689008,-87.618862,60628
41.829847,-87.614457,60653
41.679332,-87.627504,60628
41.81441,-87.631141,60609
41.961331,-87.687226,60618
41.927709,-87.688964,60647
41.785649,-87.618994,60637
41.76943,-87.609922,60637
41.745106,-87.648738,60620
41.888934,-87.756074,60644
41.730512,-87.649546,60620
41.72173,-87.649144,60643
41.994064,-87.692211,60659
41.812608,-87.624549,60653
41.880994,-87.679085,60612
41.750498,-87.595468,60619
41.758223,-87.626374,60620
41.920502,-87.722986,60647
41.824404,-87.704447,60632
41.693956,-87.622042,60628
41.698043,-87.623852,60628
41.692307,-87.612146,60628
41.744017,-87.569768,60617
41.920135,-87.770718,60639
41.87853,-87.750396,60644
41.928664,-87.639228,60614
41.881899,-87.737969,60624
41.799422,-87.599739,60615
41.892848,-87.772223,60644
41.880245,-87.764864,60644
41.804658,-87.669726,60609
41.761257,-87.664934,60636
41.776161,-87.640773,60621
41.880991,-87.704523,60612
41.771814,-87.659152,60636
41.769404,-87.734712,60629
41.856634,-87.712705,60623
41.976777,-87.692408,60625
41.894853,-87.629723,60610
41.776817,-87.6022,60637
41.775954,-87.594544,60637
41.793577,-87.767885,60638
41.744572,-87.557619,60617
41.679347,-87.62633,60628
41.815405,-87.637484,60609
41.842695,-87.623176,60616
41.776685,-87.703085,60629
41.894863,-87.764033,60651
41.879591,-87.769737,60644
41.790315,-87.623977,60637
41.917355,-87.748683,60639
41.764867,-87.667461,60636
41.752276,-87.566238,60649
41.751927,-87.551634,60617
41.967128,-87.664116,60640
41.778514,-87.701905,60629
41.779932,-87.609569,60637
41.912284,-87.752746,60639
41.781177,-87.672739,60636
41.707135,-87.625681,60628
41.858964,-87.715823,60623
41.880458,-87.748059,60644
41.77802,-87.63869,60621
41.793102,-87.668212,60636
41.883972,-87.64859,60607
