ZipCode,Pop,CoL Index,Pop Density (sq.mi),Males,Females,Median Household Income,Median price for Homes,Unemployment Rate,Sex Offenders,White,Asian,Hispanic,Black,High School Diploma,Bachelors,Graduate
46320,15086,95.3,2257,47.6,52.4,27518,68000,15.4,35,0.196738698,0.001988599,0.304321888,0.506032083,73.9,10.2,2.1
60007,33973,104.4,2412,49.1,50.9,67473,268200,7.3,15,0.773202249,0.098578283,0.094722279,0.013245813,94.2,36.2,10.5
60018,28749,104.4,1758,50.6,49.4,54688,236880,8.1,16,0.566837107,0.094716338,0.355629761,0.01220912,79.6,23.7,6.8
60022,8486,105.4,2160,51.2,48.8,538747,874800,2.3,0,0.883101579,0.02557153,0.025218006,0.011901956,98.6,86.2,48.8
60041,9192,98.6,958,49.7,50.3,61356,166800,11.4,14,0.850304613,0.010226284,0.116623151,0.010008703,93.8,20.4,7.6
60068,37421,106.2,5275,47.8,52.2,87119,401700,5.5,8,0.901552604,0.036690628,0.047459982,0.004489458,95.7,55.1,23.5
60106,20276,104.3,2262,50.1,49.9,57624,234300,8,7,0.460544486,0.045077925,0.452258828,0.029887552,80.1,17.4,4.4
60131,18068,102.8,3257,48.1,51.9,54102,190200,10.4,15,0.5242971,0.029333629,0.430650874,0.009187514,81.7,17.4,3.5
60171,10299,102.9,4562,49.4,50.6,46382,186500,8.4,6,0.762598311,0.0212642,0.185746189,0.012719682,89.3,17.8,6.3
60176,11790,105,4451,52.9,47.1,41813,202000,12.3,8,0.673197625,0.058608991,0.241136556,0.016030534,82.4,20.5,6.8
60202,32356,104.1,10590,45.7,54.3,70613,287200,7.4,10,0.539065397,0.050840648,0.113518358,0.223977006,92.5,62.5,33.7
60302,32259,104.7,10708,47.1,52.9,113157,380600,7.4,10,0.637465514,0.044204718,0.061471217,0.219504634,96.4,68.3,38.6
60304,17666,103.9,11528,47.2,52.8,80503,345000,7.4,2,0.624759425,0.044039398,0.07653119,0.191780822,97.2,67.6,34.2
60406,25294,101.3,4557,50.4,49.6,33215,113800,15,29,0.213884716,0.003241876,0.480351071,0.29528742,78.7,14.5,5.2
60419,22809,101.1,5425,46.3,53.7,35450,95000,24.7,43,0.050725591,0.002893595,0.026963041,0.905256697,87,17.8,5.4
60453,56987,102.6,6739,48.8,51.2,52961,189600,10.5,29,0.768526155,0.021303104,0.142786951,0.050941443,89.9,26,9.4
60456,4356,98.7,9096,39.2,60.8,40520,110600,6.9,6,0.841368228,0.003213958,0.134986226,0.0087236,89.3,15.4,5
60459,29119,102.8,6939,48.8,51.2,40662,181700,10.7,16,0.675023181,0.024073629,0.263882688,0.016964868,78.6,11.4,2.8
60501,12093,101.9,2499,51.6,48.4,32647,152900,12.6,15,0.254858182,0.016455801,0.593979988,0.083932854,70.6,12.1,3.1
60505,76016,101.2,6808,50.7,49.3,29968,112100,9.3,139,0.170279941,0.004920017,0.741593875,0.080969796,50.4,8,2.5
60559,24958,104.1,5123,46.3,53.7,61527,272300,10.4,12,0.653137271,0.123247055,0.115233592,0.084501963,93.4,40.7,16.7
60601,9732,109.8,"25,184",49.8,50.2,95556,494200,3.4,5,0.721742704,0.230887793,0.077681874,0.075626798,99.2,80.1,40.9
60602,1463,106.9,16809,44.6,55.4,79957,325700,0.6,7,0.541353383,0.107313739,0.064251538,0.088174983,100,76.8,8.5
60603,882,112.2,6087,41.3,58.7,107419,643800,6.7,0,0.380952381,0.116780045,0.032879819,0.015873016,100,95.1,54.7
60604,545,108,4483,54.2,45.8,132188,528100,7.1,2,0.732110092,0.141284404,0.075229358,0.07706422,98.9,89.2,55.8
60605,24972,108.3,20502,48.2,51.8,75426,344300,5.3,10,0.585175396,0.129665225,0.063991671,0.18040205,96.5,75.5,40.7
60606,2789,107.2,10917,56.1,43.9,109324,338800,1.1,8,0.623520975,0.11366081,0.040157763,0.033703837,100,93.1,45.4
60607,25134,106.9,10833,48.4,51.6,80261,340000,8.2,10,0.532068115,0.169610886,0.070860189,0.153178961,95.5,76.4,39.1
60608,78794,107.2,12407,55.7,44.3,35336,230700,16.4,144,0.172957332,0.092811635,0.587468589,0.185648653,68.5,21.7,7.4
60609,62773,105.1,8092,50,50,33630,171200,21.9,96,0.145444698,0.036862982,0.549424115,0.292036385,69.1,12,4.2
60610,38740,107.9,33041,45.6,54.4,72636,396600,6.3,7,0.672767166,0.06368095,0.045585958,0.174883841,95.7,72.4,33
60611,29722,109.5,36005,46.1,53.9,85642,464400,8,5,0.720711931,0.136868313,0.046968575,0.04081152,99.3,83.1,41.1
60612,36502,108.9,9621,48.1,51.9,35318,254200,15.8,61,0.178428579,0.044271547,0.118322284,0.559284423,82.3,31.5,13
